month_year,type_of_offence,count_category,count
2013-07-01,Mobile phone offences,Fines,88e3
2013-07-01,Mobile phone offences,Offences,1100.0
2013-07-01,Officer-issued red light,Fines,125400.0
2013-07-01,Officer-issued red light,Offences,836.0
2013-07-01,Restraints,Fines,737100.0
2013-07-01,Restraints,Offences,4914.0
2013-08-01,Alcohol specific offences,Fines,11800.0
2013-08-01,Alcohol specific offences,Offences,2178.0
2013-08-01,Camera-issued speed offences,Fines,3557360.0
2013-08-01,Camera-issued speed offences,Offences,48963.0
2013-08-01,Drug specific offences,Offences,21.0
2013-08-01,Mobile phone offences,Fines,100400.0
2013-08-01,Mobile phone offences,Offences,1255.0
2013-08-01,Officer-issued red light,Fines,139500.0
2013-08-01,Officer-issued red light,Offences,930.0
2013-08-01,Restraints,Fines,709350.0
2013-08-01,Restraints,Offences,4729.0
2013-09-01,Alcohol specific offences,Fines,10200.0
2013-09-01,Alcohol specific offences,Offences,1969.0
2013-09-01,Camera-issued speed offences,Fines,3523550.0
2013-09-01,Camera-issued speed offences,Offences,47313.0
2013-09-01,Drug specific offences,Offences,21.0
2013-09-01,Mobile phone offences,Fines,108960.0
2013-09-01,Mobile phone offences,Offences,1362.0
2013-09-01,Officer-issued red light,Fines,140550.0
2013-09-01,Officer-issued red light,Offences,938.0
2013-09-01,Restraints,Fines,676650.0
2013-09-01,Restraints,Offences,4511.0
2013-10-01,Alcohol specific offences,Fines,15200.0
2013-10-01,Alcohol specific offences,Offences,2085.0
2013-10-01,Camera-issued speed offences,Fines,3802070.0
2013-10-01,Camera-issued speed offences,Offences,52702.0
2013-10-01,Drug specific offences,Offences,29.0
2013-10-01,Mobile phone offences,Fines,120080.0
2013-10-01,Mobile phone offences,Offences,1501.0
2013-10-01,Officer-issued red light,Fines,157500.0
2013-10-01,Officer-issued red light,Offences,1050.0
2013-10-01,Restraints,Fines,917550.0
2013-10-01,Restraints,Offences,6117.0
2013-11-01,Alcohol specific offences,Fines,14200.0
2013-11-01,Alcohol specific offences,Offences,2037.0
2013-11-01,Camera-issued speed offences,Fines,3617320.0
2013-11-01,Camera-issued speed offences,Offences,45366.0
2013-11-01,Drug specific offences,Offences,20.0
2013-11-01,Mobile phone offences,Fines,118560.0
2013-11-01,Mobile phone offences,Offences,1482.0
2013-11-01,Officer-issued red light,Fines,174750.0
2013-11-01,Officer-issued red light,Offences,1165.0
2013-11-01,Restraints,Fines,941855.0
2013-11-01,Restraints,Offences,6281.0
2013-12-01,Alcohol specific offences,Fines,16800.0
2013-12-01,Alcohol specific offences,Offences,2080.0
2013-12-01,Camera-issued speed offences,Fines,5622510.0
2013-12-01,Camera-issued speed offences,Offences,122687.0
2013-12-01,Drug specific offences,Offences,20.0
2013-12-01,Mobile phone offences,Fines,98960.0
2013-12-01,Mobile phone offences,Offences,1237.0
2013-12-01,Officer-issued red light,Fines,148050.0
2013-12-01,Officer-issued red light,Offences,987.0
2013-12-01,Restraints,Fines,842100.0
2013-12-01,Restraints,Offences,5614.0
2014-01-01,Alcohol specific offences,Fines,11200.0
2014-01-01,Alcohol specific offences,Offences,1589.0
2014-01-01,Camera-issued speed offences,Fines,6030690.0
2014-01-01,Camera-issued speed offences,Offences,136555.0
2014-01-01,Drug specific offences,Offences,17.0
2014-01-01,Mobile phone offences,Fines,97840.0
